id,name
346512586,OVMFFull
345227373,ac-library
346772873,actual-server
346512628,agentsploit
345889714,alttab
345229615,angr-management
346525674,anki
346773809,ants
345987819,apacheHttpdPackages_2_4.mod_tile
346538762,asdf-vm
346379102,atmos
345854944,auto-editor
345231302,autotier
345231365,avogadro2
346811959,aws-encryption-sdk-cli
346777977,aws-sam-cli
346525684,azahar
345231624,azure-cli-extensions.acrcssc
345231645,azure-cli-extensions.aksarc
345231650,azure-cli-extensions.alias
345231661,azure-cli-extensions.aosm
345231671,azure-cli-extensions.arcappliance
345231679,azure-cli-extensions.arcdata
345231690,azure-cli-extensions.attestation
345231802,azure-cli-extensions.cloud-service
345232254,azure-cli-extensions.connectedk8s
345231768,azure-cli-extensions.containerapp
345231953,azure-cli-extensions.k8s-extension
345232025,azure-cli-extensions.k8s-extension
345232081,azure-cli-extensions.redisenterprise
345232114,azure-cli-extensions.serial-console
345232115,azure-cli-extensions.serial-console
345232134,azure-cli-extensions.stack-hci-vm
345232133,azure-cli-extensions.stack-hci-vm
345232200,azure-cli-extensions.webpubsub
346369198,azure-functions-core-tools
345232263,azure-sdk-for-cpp.security-attestation
345751821,beadwork
346545593,beamMinimal29Packages.ex_doc
346545611,beamMinimal29Packages.expert
346545600,beamMinimal29Packages.livebook
346545589,beamMinimal29Packages.rebar3
345233431,beanhub-cli
345233299,beanhub-cli
346369176,bicep-lsp
345233562,biglybt
346522525,bitcoin-knots
346522524,bitcoin-knots
346522522,bitcoin-knots
346522521,bitcoind-knots
346369162,blendfarm
346773848,blivet-gui
346369177,boogie
345987834,brlcad
345234727,bugdom
345234925,bumblebee-status
345234926,bumblebee-status
345859836,c3c
345235189,caffe
345235191,caffe
345235190,caffe
346788099,calibre-no-speech
346788091,calibre-no-speech
345236235,cdecl
346512742,ceph-client
346512747,ceph-client
346512744,ceph-csi
346512745,ceph-dev
345758591,chickenPackages_5.chickenEggs.hypergiant
345758691,chickenPackages_5.chickenEggs.libyaml
345236791,chipsec
345236793,chipsec
346369215,ciderpress2
345238770,cie-middleware-linux
345238950,clang_18
345239125,clipcat
346369236,clps2c-compiler
346536538,coccinelle
345239633,code-server
345239985,communi
346773942,copacetic
346522547,coqPackages.coq-elpi
346522569,coqPackages.coqeal
346522551,coqPackages.deriving
346522552,coqPackages.extructures
346522563,coqPackages.gaia
346522562,coqPackages.hierarchy-builder
346522583,coqPackages.jasmin
346522580,coqPackages.mathcomp-algebra-tactics
346522579,coqPackages.mathcomp-algebra
346522595,coqPackages.mathcomp-analysis
346522589,coqPackages.mathcomp-bigenough
346522592,coqPackages.mathcomp-boot
346522596,coqPackages.mathcomp-character
346522604,coqPackages.mathcomp-field
346522607,coqPackages.mathcomp-fingroup
346522620,coqPackages.mathcomp-group-representation
346522622,coqPackages.mathcomp-order
346522625,coqPackages.mathcomp-real-closed
346522631,coqPackages.mathcomp-reals-stdlib
346522628,coqPackages.mathcomp-reals
346522641,coqPackages.mathcomp-tarjan
346522643,coqPackages.mathcomp
346522675,coqPackages.reglang
346788132,credsweeper
345241616,cups-dymo
346536559,cvehound
346369310,dafny
345242017,dart_frog_cli
345242058,dasher
345242093,datadog-agent
345242083,datadog-agent
345242081,datadog-agent
345242077,datadog-process-agent
346773962,datalad
346773961,datalad
346525785,dbqn-native
346811997,deeptools
345242674,devede
346765125,dgop
345243290,dleyna
345243432,dnslink-std-go
346369328,dotnet-aspnetcore_8
346369337,dotnet-ef
346369359,dotnet-outdated
346369353,dotnet-sdk
346369364,dotnet-sdk_8
346369378,dotnetCorePackages.aspnetcore_8_0
346369499,dotnetCorePackages.dotnet_8.packages.Microsoft-AspNetCore-App-Ref
346369502,dotnetCorePackages.dotnet_8.packages.Microsoft-DotNet-ILCompiler
346369506,dotnetCorePackages.dotnet_8.packages.Microsoft-NET-ILLink-Tasks
346369511,dotnetCorePackages.dotnet_8.packages.Microsoft-NETCore-App-Ref
346369523,dotnetCorePackages.dotnet_8.packages.Microsoft-NETCore-DotNetHostPolicy
346369526,dotnetCorePackages.dotnet_8.packages.Microsoft-NETCore-DotNetHostResolver
346369532,dotnetCorePackages.dotnet_8.runtime
346369589,dotnetCorePackages.runtime_8_0
346369639,dotnetCorePackages.sdk_8_0-source
346369643,dotnetCorePackages.sdk_8_0
346369648,dotnetCorePackages.sdk_8_0_1xx
345244387,dovecot_pigeonhole
345244379,dovecot_pigeonhole_2_4
345244981,dyndnsc
346053082,easyabc
345859968,ecapture
345443732,echidna
345443733,echidna
345245387,eggnog-mapper
345245481,elasticsearch-curator
346521537,electrum
345245646,elmPackages.elm-doc-preview
345245637,elmPackages.elm-doc-preview
345245834,elmPackages.elm-graphql
345245810,elmPackages.elm-graphql
345245658,elmPackages.elm-graphql
345864684,elmPackages.elm-test-rs
345245675,elmPackages.elm-wrap
345245817,elmPackages.elm-xref
345859977,emacs-gtk
345859995,emacs-pgtk
345860006,emacs30-macport
345245782,emborg
345245783,emborg
345245776,emborg
345245822,emmy-lua-code-style
345245861,empserver
346814316,enca
346765153,envoy
346765152,envoy
345246141,equalx
345246282,ete-unwrapped
345246435,exatorrent
345246439,excalidraw_export
345246788,fancy-cat
346369720,fantomas
345247128,fcron
345247168,fedimint
345247169,fedimint
345247929,flame
345247944,flang
345247946,flang
345247945,flang
345247947,flang_20
345247954,flang_22
345247953,flang_22
345247955,flang_22
345247991,flashrom
345248681,fotowall
346369741,fracjson
346369768,garnet
345249769,gccNGPackages.gccNoLibgcc
345249772,gccNGPackages.gccWithLibatomic
345249779,gccNGPackages.gccWithLibc
345249783,gccNGPackages.gccWithLibcAndBasicLibgcc
345249795,gccNGPackages.gfortranNoLibgfortran
345249796,gccNGPackages.libatomic
345249833,gccNGPackages.libssp
345249832,gccNGPackages_15.gcc-unwrapped
345249837,gccNGPackages_15.gcc
345249835,gccNGPackages_15.gccNoLibgcc
345249846,gccNGPackages_15.gccWithLibcAndBasicLibgcc
345249853,gccNGPackages_15.gccWithLibssp
345249902,gccNGPackages_15.gfortran
345249865,gccNGPackages_15.gfortranNoLibgfortran
345249881,gccNGPackages_15.libgcc-no-libc
345249869,gccNGPackages_15.libgcc
345249913,gccNGPackages_15.stdenv
345249909,gccNGPackages_16.gcc-unwrapped
345249931,gccNGPackages_16.gccWithLibgcc
345249929,gccNGPackages_16.gccWithLibgccNoCxx
345249946,gccNGPackages_16.gfortranNoLibgfortran
345249938,gccNGPackages_16.libatomic
345249943,gccNGPackages_16.libgcc-libc
345249969,gccNGPackages_16.libgcc-no-libc
345249939,gccNGPackages_16.libgcc
345249957,gccNGPackages_16.libgfortran
345249988,gccNGPackages_16.libgomp
345249963,gccNGPackages_16.libsanitizer
345249978,gccNGPackages_16.libssp
345249967,gccNGPackages_16.libstdcxx
345249992,gccNGPackages_16.stdenv
345250307,gdtoolkit_3
345250260,gdtoolkit_3
346538831,gerbera
346538832,gerbera
346369775,gh-gei
345250827,gimme-aws-creds
345250826,gimme-aws-creds
345250824,gimme-aws-creds
346774093,git-annex
346369777,git-credential-manager
345251340,gitbeaker-cli
346369791,github-runner
346788264,glances
345292652,libtapi
345292913,libtorrent-rasterbar-1_2_x
345292908,libtorrent-rasterbar-1_2_x
345292803,libui-ng
345292798,libui
345293273,lice
345293277,lice
346370090,lidarr
345760953,linuxKernel.packages.linux_5_10.acer-wmi-battery
345760962,linuxKernel.packages.linux_5_10.can-isotp
345760943,linuxKernel.packages.linux_5_10.can-isotp
345760951,linuxKernel.packages.linux_5_10.chipsec
346536708,linuxKernel.packages.linux_5_10.drbd
345860542,linuxKernel.packages.linux_5_10.ecapture
345860543,linuxKernel.packages.linux_5_10.ecapture
345760990,linuxKernel.packages.linux_5_10.it87
345761015,linuxKernel.packages.linux_5_10.mbp2018-bridge-drv
346370084,linuxKernel.packages.linux_5_10.rtl8188eus-aircrack
346370083,linuxKernel.packages.linux_5_10.rtl8188eus-aircrack
345761144,linuxKernel.packages.linux_5_15.amneziawg
345761152,linuxKernel.packages.linux_5_15.can-isotp
